Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st_Day_Return,change_open,change_close,Star_Ratings,Performed,year,CUSIP,Offer Date,IPO Name,Ticker,VC Dummy,Rollup dummy,CRSP PERM,Dual dummy,Internet dummy,Post-Issue shares,Founding,uw_max_rank,top_tier_uw,month,avg_net_ipo,num_ipo,net_num_ipo,perc_price_above,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
2020-01-31,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17.0,23.05,21.8,0.28235294117647064,6.050000000000002,4.800000000000002,2,,2020.0,03969K108,2020-01-31,Arcutis Biotherapeutics Inc,ARQT,1,0,19184,0,0,.,2016.0,9.001,1,1.0,45,13.0,6,0.33,16.118095750958314,19.875,0.0,30.0,0.0,0.0,0.0,0.0,29.0,0.0,100.0,72.0,43.0,28.0,0.0,41.0,0.0,13.0,41.0,13.0,0.0
2020-01-31,Reynolds Consumer Products,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26.0,27.5,28.55,0.0980769230769231,1.5,2.5500000000000007,2,,2020.0,76171L106,2020-01-31,Reynolds Consumer Products Inc,REYN,0,0,19178,0,0,.,1947.0,9.001,1,1.0,45,13.0,6,0.33,1.3643151307297066,28.5,28.0,28.0,19.0,6.0,7.0,17.0,34.0,27.0,90.0,100.0,75.0,48.0,30.0,44.0,26.0,25.0,11.0,27.0,16.0
2020-02-04,InterPrivate Acquisition,IPV.U,EarlyBirdCapital,10.0,10.09,10.1,0.009999999999999964,0.08999999999999986,0.09999999999999963,1,,2020.0,,,,,,,,,,,,5.001,0,2.0,24.9,20.0,8,0.63,14.946912992035966,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,15.0,15.0,15.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
2020-02-06,Beam Therapeutics,BEAM,J.P. Morgan/ Jefferies/ Barclays,17.0,24.0,18.75,0.10294117647058824,7.0,1.75,3,,2020.0,07373V105,2020-02-06,Beam Therapeutics Inc,BEAM,1,0,19228,0,0,.,2017.0,9.001,1,2.0,24.9,20.0,8,0.63,1.4307454319915092,14.75,14.0,15.0,13.0,0.0,9.0,19.0,8.0,8.0,46.0,100.0,73.0,43.0,22.0,22.0,14.0,23.0,11.0,17.0,14.0
2020-02-06,Casper Sleep,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,12.0,14.5,13.5,0.125,2.5,1.5,1,,2020.0,147626105,2020-02-06,Casper Sleep Inc,CSPR,1,0,19202,0,0,.,2013.0,9.001,1,2.0,24.9,20.0,8,0.63,0.312374595611284,31.5,39.0,26.0,25.0,30.0,30.0,42.0,30.0,28.0,41.0,100.0,57.0,40.0,36.0,25.0,22.0,22.0,33.0,27.0,27.0
2020-02-06,PPD,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,27.0,31.0,30.0,0.1111111111111111,4.0,3.0,3,,2020.0,69355F102,2020-02-06,PPD Inc,PPD,0,0,19199,0,0,.,1985.0,9.001,1,2.0,24.9,20.0,8,0.63,0.19735940159405008,56.5,55.0,55.0,54.0,41.0,52.0,59.0,66.0,58.0,67.0,67.0,63.0,66.0,58.0,62.0,56.0,41.0,38.0,39.0,40.0
2020-02-06,Schrodinger,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,17.0,26.0,28.64,0.6847058823529412,9.0,11.64,2,,2020.0,80810D103,2020-02-06,Schrodinger Inc,SDGR,2,0,19200,1,0,61447198,1990.0,8.001,1,2.0,24.9,20.0,8,0.63,0.12062795865109255,38.75,48.0,44.0,42.0,33.0,31.0,38.0,40.0,38.0,44.0,51.0,52.0,55.0,49.0,52.0,51.0,45.0,47.0,100.0,77.0
2020-02-07,NexPoint Real Estate Finance,NREF,Raymond James,19.0,16.0,18.8,-0.01052631578947365,-3.0,-0.1999999999999993,1,,2020.0,65342M101,2020-02-07,Nexpoint Real Est Inc,NREF,0,0,.,0,0,.,2019.0,7.501,0,2.0,24.9,20.0,8,0.63,1.3862937611201906,19.625,0.0,0.0,0.0,29.0,28.0,0.0,25.0,25.0,50.0,100.0,0.0,50.0,48.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-02-07,OneWater Marine,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,12.0,15.02,15.14,0.2616666666666667,3.02,3.140000000000001,1,Missed,2020.0,68280L101,2020-02-07,OneWater Marine Inc,ONEW,2,1,19250,1,0,13857990,1997.0,7.501,0,2.0,24.9,20.0,8,0.63,16.118095750958314,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,100.0,60.0,59.0,59.0,38.0,57.0,0.0,0.0,0.0,71.0,0.0
2020-02-07,Professional Holding,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company​)",18.5,19.31,19.55,0.0567567567567568,0.8099999999999987,1.0500000000000007,NC,,2020.0,,,,,,,,,,,,7.001,0,2.0,24.9,20.0,8,0.63,-0.5773150909121503,25.125,57.0,17.0,12.0,38.0,24.0,45.0,16.0,33.0,16.0,98.0,54.0,65.0,48.0,73.0,41.0,10.0,40.0,44.0,61.0
2020-02-11,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,10.0,10.26,10.2,0.019999999999999928,0.2599999999999998,0.1999999999999993,1,,2020.0,,,,,,,,,,,,0.0,0,2.0,24.9,20.0,8,0.63,,,,,,,,,,,,,,,,,,,,,
2020-02-11,Greenrose Acquisition,GNRSU,Imperial Capital,10.0,10.02,10.07,0.007000000000000029,0.01999999999999957,0.07000000000000027,1,,2020.0,395392202,2020-02-11,Greenrose Acq Corp,GNRSU,0,.,19399,1,0,19050000,2019.0,0.0,0,2.0,24.9,20.0,8,0.63,15.404745967162466,25.375,0.0,0.0,0.0,54.0,100.0,0.0,0.0,0.0,49.0,48.0,97.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
2020-02-12,Huize Holding Ltd.,HUIZ,Citigroup/ CICC,10.5,10.62,10.0,-0.047619047619047616,0.11999999999999922,-0.5,1,,2020.0,44473E109,2020-02-12,Huize Holding Ltd,HUIZ,0,.,19234,1,1,1038356593,2006.0,9.001,1,2.0,24.9,20.0,8,0.63,,,,,,,,,,,,,,,,,,,,,
2020-02-13,Yunhong International,ZGYHU,Maxim Group LLC,10.0,10.01,10.0,0.0,0.009999999999999787,0.0,1,,2020.0,G98882114,2020-02-13,Yunhong International,ZGYHU,0,.,19355,1,0,7792500,2019.0,3.0010000000000003,0,2.0,24.9,20.0,8,0.63,0.0,4.125,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,100.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,Muscle Maker,GRIL,Alexander Capital,5.0,4.7,3.86,-0.22800000000000006,-0.2999999999999998,-1.14,1,,2020.0,627333107,2020-02-13,Muscle Maker Inc,GRIL,0,.,19233,0,0,.,1995.0,8.001,1,2.0,24.9,20.0,8,0.63,0.09662682234048514,69.5,86.0,51.0,54.0,97.0,73.0,67.0,68.0,70.0,76.0,86.0,100.0,67.0,82.0,59.0,54.0,43.0,39.0,36.0,40.0
2020-02-13,Revolution Medicines,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,17.0,28.21,28.9,0.7,11.21,11.9,3,,2020.0,76155X100,2020-02-13,Revolution Medicines Inc,RVMD,1,.,19201,0,0,.,2014.0,9.001,1,2.0,24.9,20.0,8,0.63,1.7391144675525116,10.5,11.0,7.0,0.0,0.0,6.0,6.0,16.0,12.0,37.0,100.0,37.0,26.0,14.0,19.0,8.0,9.0,15.0,8.0,2.0
2020-02-14,Churchill Capital Corp. III,CCXX.U,Citigroup/ Goldman Sachs,10.0,10.58,10.51,0.050999999999999976,0.5800000000000001,0.5099999999999998,1,,2020.0,,,,,,,,,,,,9.001,1,2.0,24.9,20.0,8,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,Newborn Acquisition,NBACU,Chardan,10.0,10.02,10.05,0.005000000000000071,0.01999999999999957,0.05000000000000071,1,,2020.0,G6463T106,2020-02-14,Newborn Acq Corp,NBACU,0,.,19352,1,0,6500000,2019.0,4.001,0,2.0,24.9,20.0,8,0.63,14.771022387607024,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,51.0,50.0,25.0,0.0,0.0,23.0,0.0,72.0,0.0
2020-02-20,East Stone Acquisition,ESSCU,I-Bankers Securities,10.0,10.05,10.01,0.0009999999999999788,0.05000000000000071,0.009999999999999787,1,,2020.0,G2911D124,2020-02-20,East Stone Acq Corp,ESSCU,0,.,19311,1,0,15440000,2018.0,0.0,0,2.0,24.9,20.0,8,0.63,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,77.0,0.0,0.0,24.0,0.0,24.0,23.0,0.0,0.0,23.0
2020-02-21,dMY Technology Group,DMYT.U,Goldman Sachs/ UBS Investment Bank,10.0,10.31,10.34,0.03399999999999999,0.3100000000000005,0.33999999999999986,1,,2020.0,,,,,,,,,,,,9.001,1,2.0,24.9,20.0,8,0.63,,,,,,,,,,,,,,,,,,,,,
2020-02-28,Passage BIO,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,18.0,22.27,22.2,0.2333333333333333,4.27,4.199999999999998,3,,2020.0,702712100,2020-02-28,Passage Bio Inc,PASG,1,0,19251,0,0,.,2017.0,9.001,1,2.0,24.9,20.0,8,0.63,1.0761389934223082,20.625,7.0,2.0,12.0,8.0,18.0,31.0,30.0,20.0,44.0,100.0,52.0,36.0,15.0,9.0,18.0,13.0,27.0,33.0,15.0
2020-03-03,GFL Environmental Holdings,GFL,JPMorgan/ BMO Capital Markets/ Goldman Sachs/ RBC Capital Markets/ Scotiabank,19.0,17.5,16.8,-0.11578947368421047,-1.5,-2.1999999999999997,1,,2020.0,36168Q104,2020-03-03,GFL Environmental Inc,GFL,2,1,19291,1,0,326440755,2007.0,9.001,1,3.0,-8.9,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,49.0,49.0,94.0,0.0,0.0,47.0,0.0,93.0,0.0
2020-03-06,Flying Eagle Acquisition,FEAC.U,Goldman Sachs/ DNB Markets,10.0,10.45,10.4,0.040000000000000036,0.4499999999999993,0.4000000000000004,1,,2020.0,,,,,,,,,,,,9.001,1,3.0,-8.9,5.0,2,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0
2020-03-06,LifeSci Acquisition,LSACU,Chardan,10.0,10.1,10.25,0.025,0.09999999999999963,0.25,1,,2020.0,53228P208,2020-03-06,Lifesci Acq Corp,LSACU,0,.,.,1,0,7500000,2018.0,4.001,0,3.0,-8.9,5.0,2,0.0,0.0,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,100.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-03-11,DFP Healthcare Acquisitions,DFPHU,Deutsche Bank Securities,10.0,10.18,10.2,0.019999999999999928,0.17999999999999972,0.1999999999999993,1,,2020.0,23343Q209,2020-03-11,DFP Healthcare Acqs Corp,DFPHU,0,.,19397,1,0,25000000,2019.0,8.501,1,3.0,-8.9,5.0,2,0.0,14.731801689838347,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,25.0,75.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
2020-03-12,IMARA,IMRA,Morgan Stanley/ Citigroup/ SVB Leerink,16.0,14.0,15.0,-0.0625,-2.0,-1.0,1,,2020.0,45249V107,2020-03-12,Imara Inc,IMRA,1,.,19313,0,0,.,2016.0,9.001,1,3.0,-8.9,5.0,2,0.0,0.05001040806684731,40.625,44.0,38.0,38.0,37.0,45.0,37.0,49.0,40.0,41.0,41.0,36.0,37.0,27.0,31.0,30.0,28.0,31.0,41.0,37.0
2020-04-01,WiMi Hologram Cloud,WIMI,Benchmark Company/ Maxim Group/ China Merchants Securities (HK)/ AMTD Global Markets,5.5,6.0,5.5,0.0,0.5,0.0,N/C,,2020.0,97264L100,2020-04-01,Wimi Hologram Cloud Inc,WIMI,1,.,19354,1,0,118111133,2015.0,7.501,0,4.0,38.5,9.0,3,1.0,12.611541086966113,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,14.0,8.0,14.0,6.0,4.0,3.0,9.0,4.0,8.0
2020-04-03,Zentalis Pharmaceuticals,ZNTL,Morgan Stanley/ Jefferies/ SVB Leerink/ Guggenheim Securities ,18.0,25.2,23.2,0.2888888888888889,7.199999999999998,5.199999999999998,1,Missed,2020.0,98943L107,2020-04-03,Zentalis Pharmaceuticals LLC,ZNTL,1,.,19356,0,0,.,2014.0,8.001,1,4.0,38.5,9.0,3,1.0,13.910821646859095,5.0,0.0,0.0,6.0,0.0,0.0,0.0,17.0,6.0,11.0,100.0,40.0,39.0,45.0,28.0,28.0,22.0,23.0,29.0,39.0
2020-04-08,Keros Therapeutics,KROS,Jefferies/ SVB Leerink/ Piper Sandler,16.0,20.85,20.08,0.2549999999999999,4.850000000000001,4.079999999999998,2,,2020.0,492327101,2020-04-08,Keros Therapeutics Inc,KROS,1,.,19349,0,0,.,2015.0,8.001,1,4.0,38.5,9.0,3,1.0,1.8893966328897287,13.75,7.0,10.0,0.0,0.0,0.0,6.0,29.0,22.0,43.0,100.0,40.0,16.0,12.0,19.0,9.0,10.0,0.0,9.0,6.0
2020-04-22,Social Capital Hedosophia Holdings Corp. III,IPOC.U,Credit Suisse,10.0,10.08,10.07,0.007000000000000029,0.08000000000000007,0.07000000000000027,1,,2020.0,,,,,,,,,,,,0.0,0,4.0,38.5,9.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
2020-04-24,CC Neuberger Principal Holdings I,PCPL.U,Goldman Sachs/ BofA Securities,10.0,10.05,10.06,0.00600000000000005,0.05000000000000071,0.0600000000000005,1,,2020.0,,,,,,,,,,,,9.001,1,4.0,38.5,9.0,3,1.0,0.0,3.875,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,Chardan Healthcare Acquisition 2,CHAQ.U,Chardan,10.0,10.0,9.98,-0.0019999999999999575,0.0,-0.01999999999999957,1,,2020.0,,,,,,,,,,,,4.001,0,4.0,38.5,9.0,3,1.0,,,,,,,,,,,,,,,,,,,,,
2020-04-24,ORIC Pharmaceuticals,ORIC,J.P. Morgan/ Citigroup/ Jefferies/ Guggenheim Securities,16.0,26.0,25.77,0.610625,10.0,9.77,3,,2020.0,68622P109,2020-04-24,Oric Pharmaceuticals Inc,ORIC,1,.,19353,0,0,.,2014.0,9.001,1,4.0,38.5,9.0,3,1.0,-0.9162877318846551,5.625,3.0,5.0,13.0,10.0,3.0,0.0,7.0,5.0,2.0,100.0,28.0,25.0,25.0,10.0,8.0,10.0,5.0,10.0,8.0
2020-04-28,Social Capital Hedosophia Holdings Corp. II,IPOB.U,Credit Suisse,10.0,10.15,10.12,0.011999999999999922,0.15000000000000036,0.11999999999999922,1,,2020.0,,,,,,,,,,,,0.0,0,4.0,38.5,9.0,3,1.0,14.403297778421795,6.875,0.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,Fortress Value Acquisition (FVAC.U) (u),FVAC.U,Deutsche Bank Securities,10.0,10.05,10.06,0.00600000000000005,0.05000000000000071,0.0600000000000005,1,,2020.0,,,,,,,,,,,,8.501,1,4.0,38.5,9.0,3,1.0,,,,,,,,,,,,,,,,,,,,,
2020-05-01,Collective Growth,CGROU,Cantor,10.0,10.0,9.96,-0.003999999999999915,0.0,-0.03999999999999915,1,,2020.0,19424L200,2020-05-01,Collective Growth Corp,CGROU,0,.,19469,1,0,19012500,2019.0,6.001,0,5.0,35.4,17.0,6,0.5,0.3646429913657285,26.5,27.0,37.0,28.0,28.0,23.0,20.0,17.0,23.0,36.0,36.0,40.0,23.0,41.0,19.0,20.0,25.0,21.0,16.0,12.0
2020-05-01,Lyra Therapeutics,LYRA,BofA Securities/ Jefferies/ William Blair,16.0,21.0,18.56,0.15999999999999992,5.0,2.5599999999999987,3,,2020.0,55234L105,2020-05-01,Lyra Therapeutics Inc,LYRA,1,.,19402,0,0,.,2005.0,8.001,1,5.0,35.4,17.0,6,0.5,-12.611541086966113,4.875,3.0,7.0,13.0,3.0,0.0,3.0,13.0,0.0,0.0,100.0,55.0,23.0,7.0,20.0,16.0,13.0,10.0,14.0,7.0
2020-05-05,Roth CH Acquisition,ROCHU,Roth Capital Partners/ Craig-Hallum Capital Group,10.0,9.95,9.94,-0.00600000000000005,-0.05000000000000071,-0.0600000000000005,1,,2020.0,778675207,2020-05-05,Roth CH Acquisition I Co,ROCHU,0,.,19489,1,0,9637500,2019.0,0.0,0,5.0,35.4,17.0,6,0.5,15.830413711839864,9.375,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,30.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,16.0
2020-05-06,Live Oak Acquisition,LOAK.U,Jefferies,10.0,10.0,9.88,-0.011999999999999922,0.0,-0.11999999999999922,1,,2020.0,,,,,,,,,,,,8.001,1,5.0,35.4,17.0,6,0.5,0.0,0.375,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,3.0,0.0,8.0,3.0,0.0,3.0,0.0,6.0
2020-05-06,Sustainable Opportunities Acquisition,SOAC.U,Citigroup,10.0,9.9,9.93,-0.007000000000000029,-0.09999999999999963,-0.07000000000000027,1,,2020.0,,,,,,,,,,,,9.001,1,5.0,35.4,17.0,6,0.5,13.910821646859095,4.375,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,11.0,34.0,0.0,35.0,0.0,11.0,0.0,0.0,12.0,12.0,0.0
2020-05-08,Ayala Pharmaceuticals,AYLA,Citigroup/ Jefferies,15.0,15.66,15.03,0.0019999999999999575,0.6600000000000001,0.029999999999999364,3,Missed,2020.0,05465V108,2020-05-08,Ayala Pharmaceuticals Inc,AYLA,1,.,19392,0,0,.,2017.0,9.001,1,5.0,35.4,17.0,6,0.5,12.899222326086994,2.375,16.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,4.0,100.0,30.0,23.0,0.0,19.0,23.0,12.0,8.0,8.0,16.0
2020-05-08,China Liberal Education Holdings (CLEU),CLEU,Boustead Securities,6.0,5.0,4.85,-0.19166666666666676,-1.0,-1.1500000000000004,1,,2020.0,G2161Y109,2020-05-08,China Liberal Education,CLEU,0,.,19395,0,0,.,2011.0,0.0,0,5.0,35.4,17.0,6,0.5,,,,,,,,,,,,,,,,,,,,,
2020-05-08,Kingsoft Cloud Holdings,KC,J.P. Morgan/ UBS Investment Bank/ Credit Suisse/ CICC ,17.0,20.37,23.84,0.4023529411764706,3.370000000000001,6.84,2,,2020.0,49639K101,2020-05-08,Kingsoft Cloud Holdings Ltd,KC,0,.,19400,1,0,3078966493,1988.0,9.001,1,5.0,35.4,17.0,6,0.5,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,93.0,100.0,54.0,34.0,20.0,13.0,7.0,35.0,21.0,22.0
2020-05-14,GigCapital3,GIK.U,Nomura/ Oppenheimer,10.0,9.9,9.91,-0.008999999999999984,-0.09999999999999963,-0.08999999999999986,1,,2020.0,37519D206,2020-05-14,Gigcapital3 Inc,GIK.U,0,.,19521,1,0,25893479,2017.0,0.0,0,5.0,35.4,17.0,6,0.5,13.458837042595949,1.25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0
2020-05-14,Jaws Acquisition,JWS.U,Credit Suisse,10.0,10.0,10.25,0.025,0.0,0.25,1,,2020.0,G50744104,2020-05-14,Jaws Acquisition Corp,JWS.U,0,.,19539,1,0,75000000,2020.0,0.0,0,5.0,35.4,17.0,6,0.5,0.0,6.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,77.0,21.0,15.0,28.0,21.0,7.0,15.0,22.0,30.0,23.0
2020-05-15,ADC Therapeutics America SA,ADCI,Morgan Stanley/ BofA Securities/ Cowen and Company,19.0,30.0,29.65,0.5605263157894737,11.0,10.65,1,,2020.0,,,,,,,,,,,,7.001,0,5.0,35.4,17.0,6,0.5,,,,,,,,,,,,,,,,,,,,,
2020-05-15,Novus Capital,NOVSU,EarlyBirdCapital,10.0,9.97,9.95,-0.005000000000000071,-0.029999999999999364,-0.05000000000000071,1,,2020.0,67012U207,2020-05-15,Novus Capital Corp,NOVSU,0,.,19480,1,0,12650000,2020.0,5.001,0,5.0,35.4,17.0,6,0.5,0.6931460694506859,5.125,11.0,10.0,2.0,0.0,9.0,2.0,5.0,4.0,9.0,17.0,4.0,4.0,11.0,6.0,13.0,23.0,10.0,18.0,2.0
2020-05-20, B. Riley Principal Merger,BMRG.U,B. Riley FBR,10.0,10.0,10.0,0.0,0.0,0.0,1,,2020.0,,,,,,,,,,,,5.001,0,5.0,35.4,17.0,6,0.5,1.40779990954195,23.375,0.0,0.0,0.0,0.0,47.0,23.0,23.0,47.0,47.0,96.0,0.0,23.0,71.0,24.0,100.0,50.0,25.0,0.0,78.0
2020-05-21,Longview Acquisition,LGVW.U,Cowen/ UBS Investment Bank,10.0,10.0,10.0,0.0,0.0,0.0,1,,2020.0,,,,,,,,,,,,7.001,0,5.0,35.4,17.0,6,0.5,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-05-21,SelectQuote,SLQT,Credit Suisse/ Morgan Stanley/ Evercore ISI/ RBC Capital Markets/ Barclays/ Citigroup/ Jefferies,20.0,26.2,27.0,0.35,6.199999999999998,7.0,3,,2020.0,816307300,2020-05-21,SelectQuote Inc,SLQT,2,.,19357,0,1,.,1985.0,9.001,1,5.0,35.4,17.0,6,0.5,0.1752040206360599,25.0,14.0,21.0,17.0,27.0,24.0,33.0,27.0,23.0,28.0,100.0,36.0,36.0,30.0,28.0,22.0,28.0,28.0,27.0,33.0
2020-05-22,Inari Medical,NRAI,BofA Securities/Morgan Stanley,19.0,41.3,42.51,1.2373684210526317,22.3,23.51,3,,2020.0,,,,,,,,,,,,0.0,0,5.0,35.4,17.0,6,0.5,0.1335310354826218,3.375,7.0,4.0,1.0,0.0,4.0,9.0,2.0,3.0,4.0,100.0,42.0,33.0,12.0,11.0,3.0,13.0,7.0,13.0,17.0
2020-05-27,Foley Trasimene Acquisition,WPF.U,Credit Suisse/ BofA Securities,10.0,10.15,10.18,0.017999999999999967,0.15000000000000036,0.17999999999999972,1,,2020.0,34431F203,2020-05-27,Foley Trasimene Acquisition,WPF.U,0,.,19519,1,0,112500000,2020.0,0.0,0,5.0,35.4,17.0,6,0.5,11.51293546492023,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0
2020-06-03,Pliant Therapeutics,PLRX,Citigroup/ Cowen/ Piper Sandler,16.0,25.0,21.3,0.33125000000000004,9.0,5.300000000000002,3,,2020.0,729139105,2020-06-03,Pliant Therapeutics Inc,PLRX,1,.,19485,0,0,.,2015.0,9.001,1,6.0,36.7,36.0,20,0.55,1.6863973239425305,7.75,6.0,4.0,0.0,4.0,2.0,6.0,13.0,6.0,27.0,100.0,23.0,29.0,26.0,6.0,8.0,17.0,17.0,4.0,12.0
2020-06-03,Warner Music Group,WMG,Morgan Stanley/ Credit Suisse/ Goldman Sachs,25.0,27.0,30.12,0.20480000000000004,2.0,5.120000000000001,2,,2020.0,934550203,2020-06-03,Warner Music Group Corp,WMG,0,.,19403,1,0,510000000,1967.0,9.001,1,6.0,36.7,36.0,20,0.55,,,,,,,,,,,,,,,,,,,,,
2020-06-04,ZoomInfo Technologies,ZI,J.P. Morgan/ Morgan Stanley/ Barclays/ Credit Suisse/ BofA Securities/ Deutsche Bank Securities/ RBC Capital Markets/ UBS Investment Ban/ Wells Fargo Securities,21.0,40.0,34.0,0.6190476190476191,19.0,13.0,3,,2020.0,98980F104,2020-06-04,ZoomInfo Technologies Inc,ZI,2,.,19405,1,0,382649466,2000.0,9.001,1,6.0,36.7,36.0,20,0.55,1.4307447402930733,9.25,4.0,8.0,5.0,6.0,5.0,4.0,12.0,11.0,23.0,100.0,65.0,34.0,21.0,25.0,25.0,16.0,20.0,15.0,19.0
2020-06-05,Applied Molecular Transport (AMTI),AMTI,BofA Securities/Jefferies/ SVB Leerink,14.0,26.0,17.98,0.2842857142857143,12.0,3.98,2,,2020.0,03824M109,2020-06-05,Applied Molecular Transport,AMTI,1,.,19462,0,0,.,2010.0,8.001,1,6.0,36.7,36.0,20,0.55,,,,,,,,,,,,,,,,,,,,,
2020-06-05,ARYA Sciences Acquisition Corp II,ARYBU,Jefferies/ Goldman Sachs,10.0,10.6,10.79,0.07899999999999993,0.5999999999999996,0.7899999999999991,1,,2020.0,G31655114,2020-06-05,Arya Sciences Acquisition II,ARYBU,0,.,.,1,0,16710000,2020.0,9.001,1,6.0,36.7,36.0,20,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,31.0,0.0,64.0,33.0,67.0,0.0,100.0,33.0
2020-06-05,Dada Nexus Limited,DADA,Goldman Sachs (Asia)/ BofA Securities/ Jefferies,16.0,18.3,15.99,-0.0006249999999999867,2.3000000000000007,-0.009999999999999787,2,,2020.0,23344D108,2020-06-05,Dada Nexus Ltd,DADA,1,.,19470,1,1,888937017,2014.0,9.001,1,6.0,36.7,36.0,20,0.55,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,56.0,57.0,58.0,40.0,40.0,81.0,62.0,0.0,21.0,20.0
2020-06-05,Legend Biotech,LEGN,Morgan Stanley/ J.P. Morgan Securities/ Jefferies,23.0,37.0,37.0,0.6086956521739131,14.0,14.0,2,,2020.0,52490G102,2020-06-05,Legend Biotech Corp,LEGN,0,.,19478,1,0,258485107,2015.0,8.001,1,6.0,36.7,36.0,20,0.55,0.6539260981761106,14.75,13.0,8.0,13.0,15.0,8.0,11.0,23.0,15.0,25.0,100.0,77.0,45.0,24.0,22.0,24.0,21.0,31.0,19.0,27.0
2020-06-05,Mountain Crest Acquisition,MCACU,Chardan,10.0,10.05,10.04,0.003999999999999915,0.05000000000000071,0.03999999999999915,1,,2020.0,62401M205,2020-06-05,Mtn Crest Acq Corp,MCACU,0,.,19644,1,0,6571500,2020.0,4.001,0,6.0,36.7,36.0,20,0.55,13.815511557963774,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,28.0,10.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0
