date,SVI,isPartial,Issuer
2020-04-05,0,False,Capstar Special Purpose Acquisition
2020-04-12,0,False,Capstar Special Purpose Acquisition
2020-04-19,0,False,Capstar Special Purpose Acquisition
2020-04-26,0,False,Capstar Special Purpose Acquisition
2020-05-03,0,False,Capstar Special Purpose Acquisition
2020-05-10,0,False,Capstar Special Purpose Acquisition
2020-05-17,0,False,Capstar Special Purpose Acquisition
2020-05-24,0,False,Capstar Special Purpose Acquisition
2020-05-31,0,False,Capstar Special Purpose Acquisition
2020-06-07,38,False,Capstar Special Purpose Acquisition
2020-06-14,0,False,Capstar Special Purpose Acquisition
2020-06-21,0,False,Capstar Special Purpose Acquisition
2020-06-28,100,False,Capstar Special Purpose Acquisition
2020-07-05,20,False,Capstar Special Purpose Acquisition
2020-07-12,21,False,Capstar Special Purpose Acquisition
2020-07-19,0,False,Capstar Special Purpose Acquisition
2020-07-26,21,False,Capstar Special Purpose Acquisition
2020-08-02,0,False,Capstar Special Purpose Acquisition
2020-08-09,0,False,Capstar Special Purpose Acquisition
2020-08-16,0,False,Capstar Special Purpose Acquisition
2020-08-23,40,False,Capstar Special Purpose Acquisition
2020-08-30,0,False,Capstar Special Purpose Acquisition
2020-09-06,0,False,Capstar Special Purpose Acquisition
2020-09-13,0,False,Capstar Special Purpose Acquisition
2020-09-20,0,False,Capstar Special Purpose Acquisition
2020-09-27,40,False,Capstar Special Purpose Acquisition
2020-10-04,0,False,Capstar Special Purpose Acquisition
2020-10-11,0,False,Capstar Special Purpose Acquisition
2020-10-18,21,False,Capstar Special Purpose Acquisition
2020-10-25,0,False,Capstar Special Purpose Acquisition
2020-11-01,0,False,Capstar Special Purpose Acquisition
2020-11-08,0,False,Capstar Special Purpose Acquisition
2020-11-15,0,False,Capstar Special Purpose Acquisition
2020-11-22,0,False,Capstar Special Purpose Acquisition
2020-11-29,0,False,Capstar Special Purpose Acquisition
2020-12-06,21,False,Capstar Special Purpose Acquisition
2020-12-13,0,False,Capstar Special Purpose Acquisition
2020-12-20,45,False,Capstar Special Purpose Acquisition
2020-12-27,0,False,Capstar Special Purpose Acquisition
2021-01-03,0,False,Capstar Special Purpose Acquisition
2021-01-10,0,False,Capstar Special Purpose Acquisition
2021-01-17,21,False,Capstar Special Purpose Acquisition
2021-01-24,0,False,Capstar Special Purpose Acquisition
