date,SVI,isPartial,Issuer
2018-12-30,0,False,8i Enterprises Acquisition
2019-01-06,0,False,8i Enterprises Acquisition
2019-01-13,0,False,8i Enterprises Acquisition
2019-01-20,0,False,8i Enterprises Acquisition
2019-01-27,0,False,8i Enterprises Acquisition
2019-02-03,0,False,8i Enterprises Acquisition
2019-02-10,0,False,8i Enterprises Acquisition
2019-02-17,0,False,8i Enterprises Acquisition
2019-02-24,0,False,8i Enterprises Acquisition
2019-03-03,0,False,8i Enterprises Acquisition
2019-03-10,0,False,8i Enterprises Acquisition
2019-03-17,0,False,8i Enterprises Acquisition
2019-03-24,100,False,8i Enterprises Acquisition
2019-03-31,34,False,8i Enterprises Acquisition
2019-04-07,66,False,8i Enterprises Acquisition
2019-04-14,0,False,8i Enterprises Acquisition
2019-04-21,0,False,8i Enterprises Acquisition
2019-04-28,0,False,8i Enterprises Acquisition
2019-05-05,0,False,8i Enterprises Acquisition
2019-05-12,33,False,8i Enterprises Acquisition
2019-05-19,33,False,8i Enterprises Acquisition
2019-05-26,0,False,8i Enterprises Acquisition
2019-06-02,0,False,8i Enterprises Acquisition
2019-06-09,0,False,8i Enterprises Acquisition
2019-06-16,0,False,8i Enterprises Acquisition
2019-06-23,33,False,8i Enterprises Acquisition
2019-06-30,0,False,8i Enterprises Acquisition
2019-07-07,33,False,8i Enterprises Acquisition
2019-07-14,34,False,8i Enterprises Acquisition
2019-07-21,0,False,8i Enterprises Acquisition
2019-07-28,0,False,8i Enterprises Acquisition
2019-08-04,0,False,8i Enterprises Acquisition
2019-08-11,0,False,8i Enterprises Acquisition
2019-08-18,0,False,8i Enterprises Acquisition
2019-08-25,0,False,8i Enterprises Acquisition
2019-09-01,0,False,8i Enterprises Acquisition
2019-09-08,0,False,8i Enterprises Acquisition
2019-09-15,0,False,8i Enterprises Acquisition
2019-09-22,0,False,8i Enterprises Acquisition
2019-09-29,0,False,8i Enterprises Acquisition
2019-10-06,32,False,8i Enterprises Acquisition
2019-10-13,0,False,8i Enterprises Acquisition
2019-10-20,0,False,8i Enterprises Acquisition
2019-10-27,0,False,8i Enterprises Acquisition
2019-11-03,31,False,8i Enterprises Acquisition
2019-11-10,0,False,8i Enterprises Acquisition
2019-11-17,0,False,8i Enterprises Acquisition
2019-11-24,0,False,8i Enterprises Acquisition
2019-12-01,0,False,8i Enterprises Acquisition
2019-12-08,0,False,8i Enterprises Acquisition
2019-12-15,32,False,8i Enterprises Acquisition
2019-12-22,0,False,8i Enterprises Acquisition
2018-12-30,5,False,Precision BioSciences
2019-01-06,35,False,Precision BioSciences
2019-01-13,17,False,Precision BioSciences
2019-01-20,21,False,Precision BioSciences
